difficulty,block,statement_1,statement_2,statement_3,statement_4,statement_5,true_statements,false_statements,trial_id,n_answers,n_correct_answers,probed_truth_value,n_true_answers,n_false_answers,trial_num
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,1,TRUE,1,1,1
1,1,1 is the same as 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1",2,2,1,TRUE,1,1,2
1,1,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1",3,2,2,FALSE,0,2,3
1,1,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1",3,2,1,TRUE,1,1,4
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,1,FALSE,1,1,5
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,2,FALSE,0,2,6
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,3,FALSE,0,3,7
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,3,TRUE,3,0,8
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,2,FALSE,1,2,9
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,2,TRUE,2,1,10
2,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1",5,3,1,FALSE,2,1,11
2,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1",5,3,1,TRUE,1,2,12
3,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1",7,4,2,FALSE,2,2,13
3,1,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1",8,4,2,TRUE,2,2,14
3,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1",7,4,3,TRUE,3,1,15
3,1,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1",8,4,3,FALSE,1,3,16
1,2,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",11,2,1,FALSE,1,1,17
1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 is different to 3, 3 is different to 1",9,2,1,FALSE,1,1,18
1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 is different to 3, 3 is different to 1",9,2,2,TRUE,2,0,19
1,2,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",11,2,1,TRUE,1,1,20
