Notes;block;trial_num;statement_1;statement_2;statement_3;statement_4;statement_5;true_statements;false_statements;ku_statements;probed_truth_value;n_answers;n_true_answers;n_false_answers;n_ku_answers
;1;1;1 is hetzelfde als 2;2 is hetzelfde als 3;;;;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1 ;2 is het tegenovergestelde van 1, 3 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;WAAR;4;1;3;0
Identical to 1 except for question;1;2;1 is hetzelfde als 2;2 is hetzelfde als 3;;;;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1 ;2 is het tegenovergestelde van 1, 3 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;ONWAAR;4;2;2;0
;1;3;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;;;;3 is het tegenovergestelde van 2, 2 is hetzelfde als 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;WAAR;4;2;2;0
Identical to 3 except for question;1;4;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;;;;3 is het tegenovergestelde van 2, 2 is hetzelfde als 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 1 is hetzelfde als 3, 3 is hetzelfde als 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;ONWAAR;4;2;2;0
;1;5;1 is het tegenovergestelde van 2;2 is het tegenovergestelde van 3;;;;3 is het tegenovergestelde van 2, 2 is het tegenovergestelde van 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;WAAR;4;1;3;0
Identical to 5 except for question;1;6;1 is het tegenovergestelde van 2;2 is het tegenovergestelde van 3;;;;3 is het tegenovergestelde van 2, 2 is het tegenovergestelde van 1, 1 is hetzelfde als 3, 3 is hetzelfde als 1;3 is hetzelfde als 2, 2 is hetzelfde als 1, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1;1 is hetzelfde als 4, 1 is het tegenovergestelde van 4 ;ONWAAR;4;1;3;0
;1;7;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;3 is hetzelfde als 4;;;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;WAAR;4;2;2;0
Identical to 7 except for question;1;8;1 is hetzelfde als 2;2 is het tegenovergestelde van 3;3 is hetzelfde als 4;;;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;ONWAAR;4;2;2;0
;1;9;1 is het tegenovergestelde van 2;2 is hetzelfde als 3;3 is het tegenovergestelde van 4;;;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;WAAR;6;2;4;0
Identical to 9 except for question;1;10;1 is het tegenovergestelde van 2;2 is hetzelfde als 3;3 is het tegenovergestelde van 4;;;2 is het tegenovergestelde van 1, 3 is hetzelfde als 2, 4 is het tegenovergestelde van 3, 1 is het tegenovergestelde van 3, 3 is het tegenovergestelde van 1, 2 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 2, 1 is hetzelfde als 4, 4 is hetzelfde als 1;2 is hetzelfde als 1, 3 is het tegenovergestelde van 2, 4 is hetzelfde als 3, 1 is hetzelfde als 3, 3 is hetzelfde als 1, 2 is hetzelfde als 4, 4 is hetzelfde als 2, 1 is het tegenovergestelde van 4, 4 is het tegenovergestelde van 1;1 is hetzelfde als 5, 1 is het tegenovergestelde van 5 ;ONWAAR;6;1;5;0
